date,content,replyCount,retweetCount,likeCount,quoteCount,lang,sourceLabel,hashtags,user.verified,user.created,user.location
20/08/2021,Malaysia menerima PM ke Congrats Dato Sri Ismail Sabri bin Yaakob Anwar Ibrahim PM tepi sampai ke sudah,0,3,3,0,in,Twitter for iPhone,,FALSE,08/11/2018,
20/08/2021,Ismail Sabri is Malaysia s th Prime Minister,0,1,0,0,en,WordPress.com,,FALSE,15/05/2017,"Sarawak, Malaysia"
20/08/2021,adoii ismail sabri hahaha,0,1,0,0,tl,Twitter Web App,,FALSE,04/06/2012,
20/08/2021,Kecewa dgn keputusan Agong Idk mana silap Anwar Dan jelas Ismail Sabri ni gagal dan kerajaan dia dulu pn gagal If keputusan ni sbb DAP jelas kerajaan perpaduan yg diminta tiada,0,2,6,0,in,Twitter for iPhone,,FALSE,07/05/2018,
20/08/2021,TERKINI Ismail Sabri dilantik sebagai Perdana Menteri Kesembilan Istana Negara,94,550,727,598,in,Twitter Web App,,TRUE,20/01/2010,"Kuala Lumpur, Malaysia"
20/08/2021,HAHAHHAHA ISMAIL SABRI DAH JADI PM KE,0,0,0,0,in,Twitter for Android,,FALSE,30/09/2011,Brunei
20/08/2021,so ismail sabri huh,0,0,0,0,en,Twitter for iPhone,,FALSE,23/01/2013,
20/08/2021,staypku Dah Ismail Sabri,1,0,1,0,in,Twitter for Android,,FALSE,04/02/2012,Subang airport
20/08/2021,Babila sumpah babi i will never accept Ismail Sabri as my PM Fucking disaster,0,1,2,0,en,Twitter for iPhone,,FALSE,28/09/2014,💜 방탄소년탄 💜
20/08/2021,Ismail Sabri PM ke Malaysia,0,0,0,0,in,Twitter for iPhone,,FALSE,31/07/2010,
20/08/2021,Ismail Sabri is PM,2,22,35,1,tl,Twitter for iPhone,,FALSE,02/07/2020,🇲🇾🇺🇸 Stonk market
20/08/2021,Hancurlah negara bersama Ismail Sabri dan UMNO,0,0,0,0,in,Twitter for Android,,FALSE,28/01/2011,"Kuala Lumpur, Malaysia"
20/08/2021,TERKINI Agong berkenan melantik Ahli Parlimen Bera Dato Sri Ismail Sabri bin Yaakob sebagai Perdana Menteri Malaysia Ke,3,4,8,2,in,Twitter for Android,,FALSE,03/11/2020,"Kuala Lumpur, Wilayah Persekut"
20/08/2021,Last last ismail sabri gak yg jadi pm baru hahahahahahah pi mai pi mai tang tu matttttt Dia punca second wave la mat lupa ke apa,1,0,1,0,in,Twitter for Android,,FALSE,11/01/2017,"Johor Bahru, Johor"
20/08/2021,Tahniah YAB Ismail Sabri Misi k daily cases,0,0,2,0,in,Twitter for Android,,FALSE,13/08/2011,"Kajang, Selangor"
20/08/2021,BREAKING Ismail Sabri Has Been Appointed As The th Prime Minister Of Malaysia,5,8,11,22,en,Twitter Web App,,TRUE,29/08/2008,Malaysia
